Continent,Year,Coal,Gas,Hydro,Renewables,Solar,Oil,Wind,Nuclear
Africa,1985,139.5143361,27.9265,49.44968505,0.2689999999999999,0.0,34.29558007,0.0,5.315
Africa,1986,142.0782501,28.349,51.1453733,0.659,0.0,37.18414795,0.0,8.802999999999999
Africa,1987,152.2274759,31.584,49.05646031,0.6579999999999999,0.0,38.683589000000005,0.0,6.167000000000001
Africa,1988,152.4487263,34.0095,53.59345636,0.626,0.0,42.61288463,0.0,10.493
Africa,1989,157.21062769999995,36.939,56.27621477,0.617,0.0,43.33788191,0.0,11.099
Africa,1990,164.6735354,42.646,57.25465912,0.765731343,0.0,43.12589201,0.0,8.449
Africa,1991,164.7859777,45.6115,60.65148841,0.7879999999999999,0.0,42.20262062,0.0,9.144
Africa,1992,165.4204072,50.5445,57.86029168,0.82425,0.0,42.74259227,0.0,9.288000285
Africa,1993,175.9624054,55.1335,56.68250727,0.9157,0.0,41.90501576,0.002,7.255000053
Africa,1994,179.79873080000002,62.1015,57.59604857,0.821,0.0,39.92952025,0.0054,9.696999854
Africa,1995,186.8891643,66.314,59.76887687,1.0207,0.0,36.14985687,0.0063,11.30099943
Africa,1996,197.2943057,69.9915,62.31645867,1.260093088,0.0,37.32356362,0.0071,11.77500009
Africa,1997,206.0477643,75.8445,63.85249756,1.388640408,0.0,38.509825,0.0072,12.64699988
Africa,1998,201.6999621,77.3305,66.65488788,1.714549286,0.0,42.87714570000001,0.0076,13.60099945
Africa,1999,199.7957154,86.0905,70.68426132,1.696124799,0.0,44.68660017,0.0198,12.83699988
Africa,2000,208.213584,91.84195713,75.24581662,2.269063158,0.013141,46.26333295,0.176,13.01000009
Africa,2001,214.4311602,100.9764402,80.86411472,2.335352632,0.01636,47.13860403,0.41608,10.71899964
Africa,2002,222.8976789,115.9521024,85.18146813,2.2864,0.01947101,46.40976625,0.444584,11.99099944
Africa,2003,235.0154772,123.9764989,82.87260146,2.6224,0.02302901,47.87108766,0.541199,12.66299922
Africa,2004,245.1945917,138.1535376,87.40546926,2.9841,0.02746101,48.73548389,0.769280505,13.36512271
Africa,2005,248.8120677,152.74880919999998,89.06573418,3.0148,0.03237601,50.77501728,0.782382111,11.29265416
Africa,2006,255.9014317,164.414609,92.24055301,3.77529,0.04065701,54.69724129,0.852565606,10.02599942
Africa,2007,262.4704142,174.81874209999998,95.34056181,3.14685,0.053333293,58.19071309,1.016223364,11.31699987
Africa,2008,257.4913186,184.4927751,97.15720925,3.2714220000000003,0.075132202,62.76800782,1.312178131,13.00399966
Africa,2009,247.7055882,192.5277145,99.7611369,3.56272219,0.0981529269999999,67.71271341,1.589730939,12.80599944
Africa,2010,257.3348795,218.2921095,107.42683259999998,3.829542064,0.21382075,65.37126025,2.284182434,13.52699988
Africa,2011,259.9590085,235.6940029,110.444821,3.929656611,0.452785301,57.83920552,2.537472939,12.902
Africa,2012,255.512364,261.2388935,110.9523002,4.089949862,0.551142126,68.94772323,2.96173124,12.96743391
Africa,2013,251.3352277,268.4710536,117.6728464,4.438767925,0.82434814,79.62953808,3.5597843030000003,14.10599837
Africa,2014,251.8741375,277.1168432,123.72679479999998,5.552723203999999,1.83130817,84.67913735,5.158121834,13.79399967
Africa,2015,246.8359612,292.68621210000003,119.8568199,7.13598651,3.595709874,92.81668494,8.888286283,12.237
Africa,2016,249.7962915,306.8942833,115.80125,7.206840106,4.939309565,87.16175222,11.30582067,15.913439000000002
Africa,2017,249.7207417,326.8668081,123.8156247,7.571012851,6.9840506520000005,80.00760949,12.4581791,15.756337
Africa,2018,256.5685768,331.30307860000005,130.3878399,8.059533373999999,9.850222858,79.31776275,14.28779541,11.090427
Africa,2019,253.5559777,340.47281960000004,132.7347905,8.184247277999999,19.37797783,81.27423987,17.508052499999998,14.214193
